journal_abbr,lastname,firstname,title,position,affiliation,role,website,retrieved_on,Richter,Benita,Unnamed: 2,Chefredakteurin,Bundesvereinigung Lebenshilfe e. V.,Redaktion,Es wurden keine Informationen über den Herausgeber, die Redaktion/Schriftleitung und den Beirat der Zeitschrift 'Bundesbaublatt' gefunden. Hier sind die CSV-Header:,Bayer,Walter,Prof. Dr.,Herausgeber,Friedrich-Schiller-Universität Jena,Herausgeber.1
ArchKrim,Thierauf-Emberger,Annette,Prof. Dr.,,Freiburg/Br.,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Waßmer,Martin,Prof. Dr.,,Köln,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Otte,Andreas,Prof. Dr.,,Offenburg,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
UFITA,Cole,Mark D.,,Direktor,Institut für Europäisches Medienrecht,Herausgeber,https://de.wikipedia.org/wiki/Archiv_f%C3%BCr_Medienrecht_und_Medienwissenschaft,2024-01-04,,,,,,,,,,,,,,
UFITA,Klass,Nadine,,Direktorin,Institut für Urheber- und Medienrecht,Herausgeber,https://de.wikipedia.org/wiki/Archiv_f%C3%BCr_Medienrecht_und_Medienwissenschaft,2024-01-04,,,,,,,,,,,,,,
AfP,Theobald,Christian,RA Prof. Dr.,Herausgeber,C. H. Beck Verlag,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Theobald,Christian,RA Prof. Dr.,Schriftleiter,C. H. Beck Verlag,Schriftleitung,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Becker,Carsten,Prof. Dr.,Herausgeber,Bundeskartellamt,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Franke,Peter,,Herausgeber,Bundesnetzagentur,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Mögelin,Chris,Dr.,Herausgeber,Bundesnetzagentur,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Rasbach,Winfried,Dr. iur.,Herausgeber,Thüga Aktiengesellschaft,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Ruge,Reinhard,Prof. Dr. LL.M.,Herausgeber,50Hertz Transmission GmbH,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Schulz,Thomas,RA,Herausgeber,Linklaters LLP,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Beckers,Thorsten,Prof. Dr.,Wissenschaftlicher Beirat,Bauhaus-Universität Weimar,Beirat,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfP,Burgi,Martin,Prof. Dr.,Wissenschaftlicher Beirat,LMU München,Beirat,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AfS,Kufferath,Philipp,,Geschäftsführender Herausgeber,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Wehrs,Nikolai,,,Archiv für Sozialgeschichte,Redaktion,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Gatzka,Claudia,Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Heinsohn,Kirsten,Prof. Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Lenger,Friedrich,Prof. Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Kroll,Thomas,Prof. Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Kruke,Anja,Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Planert,Ute,Prof. Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Süß,Dietmar,Prof. Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
AfS,Woyke,Meik,Dr.,,Archiv für Sozialgeschichte,Herausgeber,https://www.fes.de/afs,2024-01-04,,,,,,,,,,,,,,
A&R,Rotta,Christian,Dr.,,Arzneimittel & Recht,Herausgeber,https://www.deutscher-apotheker-verlag.de/Arzneimittel-Recht/1860-5338.NORM,2024-01-04,,,,,,,,,,,,,,
A&R,Meyer,Hilko,Professor Dr.,,Arzneimittel & Recht,Herausgeber,https://www.deutscher-apotheker-verlag.de/Arzneimittel-Recht/1860-5338.NORM,2024-01-04,,,,,,,,,,,,,,
A&R,Wigge,Peter,Dr.,,Arzneimittel & Recht,Herausgeber,https://www.deutscher-apotheker-verlag.de/Arzneimittel-Recht/1860-5338.NORM,2024-01-04,,,,,,,,,,,,,,
A&R,Lau,Ulrich,Dr.,,Arzneimittel & Recht,Herausgeber,https://www.deutscher-apotheker-verlag.de/Arzneimittel-Recht/1860-5338.NORM,2024-01-04,,,,,,,,,,,,,,
AbfallR,Beckmann,Martin,Prof. Dr.,Rechtsanwalt,Münster,Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Dieckmann,Martin,Dr.,Rechtsanwalt,Hamburg,Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Klages,Christoph,Dr.,Verwaltungsgericht,Trier,Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Kopp-Assenmacher,Stefan,,Rechtsanwalt,"Kopp-Assenmacher Rechtsanwälte, Berlin",Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Michalke,Regina,Dr.,Rechtsanwältin,Frankfurt (Main),Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Petersen,Frank,MinR a. D. Dr.,Bundesumweltministerium,Bonn,Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Queitsch,Peter,Dr.,Städte- und Gemeindebund NRW e.V.,Düsseldorf,Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Schink,Alexander,Prof. Dr.,Rechtsanwalt,Bonn,Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Weidemann,Clemens,Prof. Dr.,Rechtsanwalt,Heidelberg,Herausgeber,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Buch,Thomas,LMR,"Ministerium für Umwelt, Landwirtschaft, Natur- und Verbraucherschutz des Landes NRW",Beirat,,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Dippel,Martin,Prof.,Rechtsanwalt,Paderborn,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Eichholz,Manuela,Dr.,Bayer AG,Leverkusen,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Fluck,Jürgen,Dr.,Rechtsanwalt,Mannheim,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Frenz,Walter,Prof. Dr.,RWTH,Aachen,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Gaßner,Hartmut,,Rechtsanwalt,Berlin,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Gruneberg,Ralf,Dr.,Rechtsanwalt,Köln,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Jarass,Hans D.,Prof. Dr.,Universität Münster,,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Jung,Gottfried,Prof. Dr.,Rechtsanwalt,Mainz,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Koch,Hans-Joachim,Prof. Dr.,Universität Hamburg,,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Kropp,Olaf,Dr.,Geschäftsführer,"Sonderabfall-Management-Gesellschaft Rheinland-Pfalz mbH, Mainz",Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Loschwitz,Jens,,BDE e.V.,Berlin,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Paetow,Stefan,Dr.,VorsRi BVerwG a.D.,Berlin,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Thärichen,Holger,Dr.,Geschäftsführer,"Abfallwirtschaft und Stadtreinigung VKS, VKU, Berlin",Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AbfallR,Versteyl,Andrea,Prof. Dr.,Rechtsanwältin,Berlin,Beirat,https://www.lexxion.eu/zeitschriften/abfallr/,2024-01-04,,,,,,,,,,,,,,
AöR,Breuer,Rüdiger,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Di Fabio,Udo,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Frowein,Jochen Abr.,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Häberle,Peter,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Robbers,Gerhard,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Eifert,Martin,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Guckelberger,Annette,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Huber,Peter M.,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AöR,Schorkopf,Frank,,,Archiv des öffentlichen Rechts,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer,2024-01-04,,,,,,,,,,,,,,
AfkKR,Mörsdorf,Klaus,,Professor,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Weinzierl,Karl,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Scheuermann,Audomar,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Schmitz,Heribert,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Doskocil,Walter,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Aymans,Winfried,,Professor,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Strigl,Richard A.,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Geringer,Karl-Theodor,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Haering,Stephan,OSB,Professor,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Güthoff,Elmar,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Pree,Helmuth,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Kingata,Yves,,,Universität München,Schriftleitung,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Berkmann,Burkhard,,,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
AfkKR,Rehak,Martin,Prof. Dr.,geschäftsführender Herausgeber und Schriftleiter,Universität München,Herausgeber,https://www.kaththeol.lmu.de/de/forschung/archiv-fuer-katholisches-kirchenrecht/index.html,2024-01-04,,,,,,,,,,,,,,
ARSP,,Internationale Vereinigung für Rechts- und Sozialphilosophie,,,Franz Steiner Verlag,Herausgeber,https://www.steiner-verlag.de/series/0001-2343,2024-01-04,,,,,,,,,,,,,,
ARSP,Günther,Klaus,Prof. Dr.,Federführender Redakteur,,Redaktion,https://www.steiner-verlag.de/series/0001-2343,2024-01-04,,,,,,,,,,,,,,
ARSP,Brockmöller,Annette,Dr.,Redakteurin,Franz Steiner Verlag,Redaktion,https://www.steiner-verlag.de/series/0001-2343,2024-01-04,,,,,,,,,,,,,,
Aufsichtsrat,Achenbach,Christoph,Dr.,,BfUN GmbH,Herausgeber,https://www.fachmedien.de/beirat-und-aufsichtsrat,2024-01-04,,,,,,,,,,,,,,
Aufsichtsrat,Gottschalck,Frederik,Dr.,,BfUN GmbH,Herausgeber,https://www.fachmedien.de/beirat-und-aufsichtsrat,2024-01-04,,,,,,,,,,,,,,
ArztR,Schütz,Markus,Dr.,Rechtsanwalt,,Herausgeber,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Alvermann,Jörg,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Bechtel,Caroline,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Blask,Holger,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Frey,Dieter,Prof. Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Gutzeit,Martin,Prof. Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Herrich,Thomas E.,,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Hofmann,Henning,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Jakob,Anne,Prof. Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Jakob,Holger,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Jens,Andreas,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Kempf,Gunnar,LL.M.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Kubiciel,Michael,Prof. Dr. Dr. h.c.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Lindhorst,Hermann,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Lorenz,Hans Eberhard,,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Maties,Martin,Prof. Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Nolte,Martin,Prof. Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Räker,Jan,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Rain,Joachim,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Schimke,Martin,Prof. Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Schneider,Marc Patrick,MBA,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Thiel,Andreas,,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Winter,Philipp,Dr.,,,Beirat,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Schütz,Markus,Dr.,Schriftleiter,Nomos Verlag,Schriftleitung,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
ArztR,Muresan,Remus,Dr.,Redakteur,Nomos Verlag,Redaktion,https://www.arztrecht.org/,2024-01-04,,,,,,,,,,,,,,
AuAS,Fritz,Roland,Prof. Dr.,Präsident des VG Frankfurt,Schnelldienst AuAS - Ausländer- und Asylrecht,Herausgeber,https://shop.wolterskluwer-online.de/rechtsgebiete/verwaltungsrecht/auslaender-asylrecht/04109500-schnelldienst-auas-auslaender-und-asylrecht.html,2024-01-04,,,,,,,,,,,,,,
AW-Prax,Wolffgang,Hans-Michael,Prof. Dr.,Schriftleitung,AW-Prax,Schriftleitung,https://shop.reguvis.de/online/aussenwirtschaftliche-praxis-aw-prax-online/,2024-01-04,,,,,,,,,,,,,,
AW-Prax,Graf von Bernstorff,Christoph,Prof. Dr.,Redaktion Außenhandelsrecht,AW-Prax,Redaktion,https://shop.reguvis.de/online/aussenwirtschaftliche-praxis-aw-prax-online/,2024-01-04,,,,,,,,,,,,,,
AW-Prax,Pottmeyer,Klaus,Dr.,Redaktion Exportkontrollrecht,AW-Prax,Redaktion,https://shop.reguvis.de/online/aussenwirtschaftliche-praxis-aw-prax-online/,2024-01-04,,,,,,,,,,,,,,
AW-Prax,Harings,Lothar,Dr.,Redaktion Nachhaltigkeit und Compliance,AW-Prax,Redaktion,https://shop.reguvis.de/online/aussenwirtschaftliche-praxis-aw-prax-online/,2024-01-04,,,,,,,,,,,,,,
AW-Prax,Rinnert,Sandra,Prof. Dr.,Redaktion Zollrecht,AW-Prax,Redaktion,https://shop.reguvis.de/online/aussenwirtschaftliche-praxis-aw-prax-online/,2024-01-04,,,,,,,,,,,,,,
ARIEL,Wittich,Stephan,,"Professor, Section for International Law and International Relations",University of Vienna,Herausgeber,https://www.lehmanns.de/shop/schulbuch-lexikon-woerterbuch/43257345-9789004375079-austrian-review-of-international-and-european-law-volume-20-2015,2024-01-04,,,,,,,,,,,,,,
ARIEL,Hofbauer,Jane A.,,postdoctoral researcher at Section for International Law and International Human Rights Law,Bundeswehr University Munich,Herausgeber,https://www.lehmanns.de/shop/schulbuch-lexikon-woerterbuch/43257345-9789004375079-austrian-review-of-international-and-european-law-volume-20-2015,2024-01-04,,,,,,,,,,,,,,
ARIEL,Loibl,Gerhard,,,"Vienna School of International Studies, Austria",Herausgeber,https://www.lehmanns.de/shop/schulbuch-lexikon-woerterbuch/43257345-9789004375079-austrian-review-of-international-and-european-law-volume-20-2015,2024-01-04,,,,,,,,,,,,,,
BJM,Thurnherr,Daniela,Prof. Dr.,LL.M.,Universität Basel | Juristische Fakultät,Redaktion,https://basler-juristenverein.ch/home,2024-01-05,,,,,,,,,,,,,,
BJM,," """""," """""," """""," ""BJV Basler Juristenverein""",Herausgeber,https://basler-juristenverein.ch/home,2024-01-05,,,,,,,,,,,,,,
BauR,Theobald,Christian,RA Prof. Dr.,Rechtsanwalt,"Becker Büttner Held, Berlin",Herausgeber/Schriftleitung,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Becker,Carsten,Prof. Dr.,Vorsitzender der 10. Beschlussabteilung,Bundeskartellamt,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Franke,Peter,,Vizepräsident a.D.,Bundesnetzagentur,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Mögelin,Chris,Dr.,Leiter des Justiziariats,Bundesnetzagentur,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Rasbach,Winfried,Dr. iur.,Hauptabteilungsleiter Recht,Thüga AG,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Ruge,Reinhard,Prof. Dr. LL.M.,Stellvertretender Abteilungsleiter Recht,50Hertz Transmission GmbH,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Schulz,Thomas,RA,Rechtsanwalt,Linklaters LLP,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Beckers,Thorsten,Prof. Dr.,Leiter der Professur Infrastrukturwirtschaft und -management,Bauhaus-Universität Weimar,Wissenschaftlicher Beirat,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BauR,Burgi,Martin,Prof. Dr.,"Lehrstuhl für Öffentliches Recht, Wirtschaftsverwaltungsrecht, Umwelt- und Sozialrecht",LMU München,Wissenschaftlicher Beirat,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-05,,,,,,,,,,,,,,
BayVBl,Kersten,Stephan,,Präsident des Bayer. Verwaltungsgerichtshofs,,Herausgeber,https://www.boorberg.de/5225337,2024-01-05,,,,,,,,,,,,,,
BayVBl,Möstl,Markus,Dr.,Professor des öffentlichen Rechts an der Universität Bayreuth,,Herausgeber,https://www.boorberg.de/5225337,2024-01-05,,,,,,,,,,,,,,
BayVBl,Schöbel,Heino,Dr. h.c.,"Ministerialdirigent im Bayer. Staatsministerium der Justiz a.D., ehemals Leiter des Landesjustizprüfungsamts",,Herausgeber,https://www.boorberg.de/5225337,2024-01-05,,,,,,,,,,,,,,
BayVBl,Spilarewicz,Volkhard,,"Ministerialdirigent im Bayer. Staatsministerium des Innern, für Bau und Verkehr",,Herausgeber,https://www.boorberg.de/5225337,2024-01-05,,,,,,,,,,,,,,
BayVBl,von Golitschek,Herbert,Dr.,Präsident  a.D. des Bayer. Verwaltungsgerichts Würzburg,,Schriftleitung,https://www.boorberg.de/5225337,2024-01-05,,,,,,,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Weiz,Jana,,Redaktionsassistentin,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Niehoff,Claudia,,,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Meinert,Almuth,,,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Hagemann,Patrick,,,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Ghebremicael,Helen,Dr.,,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Demirci,Silva,Dr.,,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Welke,Antje,,,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Pakleppa,Kai,,,Bundesvereinigung Lebenshilfe e. V.,Redaktion,,,,,,,,
Br,,,,,,,https://www.lebenshilfe.de/informieren/publikationen/fachzeitschrift-teilhabe/die-menschen-hinter-der-fachzeitschrift-teilhabe,2024-01-05,Dieckmann,Friedrich,Prof. Dr.,"Professur für Heilpädagogische Psychologie, Katholische Hochschule Nordrhein-Westfalen Münster, Leiter des Instituts für Teilhabeforschung, stellvertr. Vorsitzender der Deutschen Heilpädagogischen Gesellschaft (DHG), Mitglied der IASSIDD",Bruder einer Schwester mit kognitiver Beeinträchtigung,Beirat,,,,,,,,
